wb,geometric_acc,naive_acc
0.0,90.3,90.31
0.1,90.05,90.08
0.2,89.22,88.93
0.3,88.22,84.47
0.4,86.51,67.41
0.5,86.0,17.02
0.6,86.86,63.71
0.7,88.59,84.31
0.8,89.68,89.37
0.9,90.47,90.33
1.0,90.51,90.51
